Name,Price,Image URL,Product URL
Magnesium Bisglycinate (120 Kapseln),"19,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-magnesium-120caps.jpg",https://www.bodylab24.de/magnesium-bisglycinate-120-kapseln.html
ZMA - Zink-Magnesium-Vitamin B6 (120 Kapseln),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-small-iml0.5-zma-120caps.jpg",https://www.bodylab24.de/zma-zink-magnesium-vitamin-b6-120-kapseln.html
BCAA Drink Powder Matrix Formula (300g),"12,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-bcaa-drink-watermelon-300g-int..jpg",https://www.bodylab24.de/bcaa-drink-powder-matrix-formula-300g.html
Eat Clean Protein Bar (12x65g),"30,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-eatclean-display-proteinbar-cookie-dough.jpg",https://www.bodylab24.de/bodylab24-eat-clean-12x65g.html
Energy Oats Bar (12x50g),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-energy-oatsbar-banana-display.jpg",https://www.bodylab24.de/bodylab24-energy-oats-bar-12x50g.html
Creatine Monohydrate (180 Kapseln),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-creatine-monohydrate-180caps.jpg",https://www.bodylab24.de/creatine-monohydrate-180-kapseln.html
Omega-3 Extreme (120 Kapseln),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-omega3-extreme-120-gelcaps-int.jpg",https://www.bodylab24.de/omega-3-extreme-120-kapseln.html
Beta-Alanine (500g),"27,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_final_beta-alanine-500g-int.jpg",https://www.bodylab24.de/bodylab24-beta-alanine-500g.html
EAA Extreme (500g),"27,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-eaa-extreme-fruitpunch-500g.jpg",https://www.bodylab24.de/eaa-extreme-500g.html
Vegan Protein (1000g),"35,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-vegan-protein-1kg_3.jpg",https://www.bodylab24.de/vegan-protein-1000g-25033.html
Flavour Flash (250g),"16,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/f/l/flavor_flash_250g_-_chunky_chocolate_-_1_1.jpg",https://www.bodylab24.de/flavour-flash-250g-29204.html
Tribulus Terrestris (120 Tabletten),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-tribulus-terrestris-120caps.jpg",https://www.bodylab24.de/bodylab24-tribulus-terrestris-120-tabletten.html
Amino Liquid Cherry Berry (1000ml),"19,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-amino-liquid-cherry-berry.jpg",https://www.bodylab24.de/amino-liquid-cherry-berry-1000ml.html
Concentrated Pre Workout (500g),"35,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-con-preworkout-500g-iml-int-fruitpunch.jpg",https://www.bodylab24.de/concentrated-pre-workout-500g.html
Pure Muscle Gainer (2000g),"27,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-muscle-gainer-bucket-2kg.jpg",https://www.bodylab24.de/bodylab24-pure-muscle-gainer-2000g.html
Weight Gainer (5000g),"80,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-weightgainer-5kg.jpg",https://www.bodylab24.de/bodylab24-weight-gainer-5000g.html
Vital Zero Drink (1000ml),"17,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/b/o/bodylab-vital-drink-blood-orange-new.jpg",https://www.bodylab24.de/vital-drink-concentrated-1000ml.html
AAKG (500g),"12,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_final_bodylab-aakg-500g-int.jpg",https://www.bodylab24.de/bodylab24-aakg-500g.html
Flavour Drops (30ml),"5,79€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-flavour-drops-vanilla_1.jpg",https://www.bodylab24.de/bodylab24-flavour-drops-30ml.html
Pre Workout Booster Extreme (500g),"30,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-pre-workout-booster-ex-cherry-500g.jpg",https://www.bodylab24.de/pre-workout-booster-extreme-500g.html
Arginine Powder (500g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-l-arginine-500g-iml-v2-int.jpg",https://www.bodylab24.de/bodylab24-arginine-powder-500g.html
Hydrolised Collagen (400g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-hydrolised-collagen-neutral-400g-int.jpg",https://www.bodylab24.de/hydrolysed-collagen-400g.html
Amino Tabs (300 Tabletten),"28,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-amino-blocks-300tabs-1_2vk-iml.jpg",https://www.bodylab24.de/amino-tabs-300-tabletten.html
Maltodextrin (5000g),"37,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-malto-dextrin-buckets-5kg-1000px.jpg",https://www.bodylab24.de/bodylab24-maltodextrin-5000g.html
L-Glutamin (180 Kapseln),"18,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-small-iml0.5-l-glutamine-180caps.jpg",https://www.bodylab24.de/bodylab24-l-glutamin-180-kapseln.html
Caffeine (120 Kapseln),"7,92€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-small-iml0.5-caffeine-120caps.jpg",https://www.bodylab24.de/caffeine-anhydrous-120-kapseln.html
Glucosamine (120 Tabletten),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-glucosamine-120tabs.jpg",https://www.bodylab24.de/glucosamine-120-tabletten.html
Amin's Starter Pack,"39,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/b/o/bodylab-whey-fre1kg_booster_shaker.jpg",https://www.bodylab24.de/amin-s-starter-pack.html
BCAA Powder (500g),"24,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-bcaa-500g-iml1.2vk-int.jpg",https://www.bodylab24.de/bcaa-powder-500g-28909.html
Soja Protein Isolat (1000g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-soy-protein-isolate-1kg-buckets-1000px.jpg",https://www.bodylab24.de/bodylab24-soja-protein-isolat-1000g.html
Burn Pack,"40,90€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/b/l/bl_bundle.png",https://www.bodylab24.de/burn-pack.html
Pure Oats (5000g),"37,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-pure-oats-buckets-5kg-1000px.jpg",https://www.bodylab24.de/bodylab24-pure-oats-5000g.html
Mineral Complex (150 Kapseln),"27,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-mineral-complex-150caps.jpg",https://www.bodylab24.de/mineral-complex-150-kapseln.html
Omega-3 + Vitamin D3 + K2 Extreme (120 Kapseln),"19,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-omega3-d3-k2-120caps.jpg",https://www.bodylab24.de/omega-3-vitamin-d3-k2-extreme-120-kapseln.html
High Protein Peanut Butter Powder (960g),"30,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-peanut-butter-powder-960g_2.jpg",https://www.bodylab24.de/high-protein-peanut-butter-powder-960g.html
Vitamin B Complex (120 Tabletten),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-vitamin-b-complex.jpg",https://www.bodylab24.de/vitamin-b-complex-120-tabletten.html
Clear Whey Isolate (720g),"43,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-clear-whey-isolate-720g.jpg",https://www.bodylab24.de/clear-whey-isolate-720g.html
Vitamin C (mit Acerola Extrakt) (120 Kapseln),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-vitamin-c-120caps-0_5iml-int.jpg",https://www.bodylab24.de/vitamin-c-mit-acerola-extrakt-120-kapseln.html
Maca Powder (400g),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-superfoods-maca-powder.jpg",https://www.bodylab24.de/maca-powder-400g.html
Casein Micellar (1750g),"36,90€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-micellar-casein-1.75kg-basic.jpg",https://www.bodylab24.de/casein-micellar-1750g.html
L-Leucin (Essential Amino Acid) (300g),"13,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-l-leucine-300g-1_2vk-iml.jpg",https://www.bodylab24.de/l-leucin-essential-amino-acid-300g.html
Amin's Extreme Aufbau Pack,"75,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/a/m/amins_muskelaufbau_pack_plus_crea-mono.jpg",https://www.bodylab24.de/amin-s-extreme-aufbau-pack.html
Ashwagandha + Magnesium - Zinc - Vitamin B6 (120 Kapseln),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-ashwagandha-120caps.jpg",https://www.bodylab24.de/ashwagandha-magnesium-zinc-vitamin-b6-120-kapseln.html
Sport Meal (2000g),"21,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-sport-meal-2kg.jpg",https://www.bodylab24.de/sport-meal-2000g.html
